,Client-related,Candidate-related,Market-related,Internal-related
,"Definition: Client-related blockers are situations where recruitment activity is slowed down or temporarily halted due to factors on the client side, rather than recruiter performance or market conditions. These blockers typically arise from client availability, priorities, or role readiness, and can directly affect sourcing, screening, and hiring timelines.","Definition: Candidate-related blockers are challenges in the recruitment process caused by candidate behavior, candidate pool limitations, or process inefficiencies that prevent progress, independent of client-side or recruiter-side effort. These blockers can affect pipeline quality, screening accuracy, and hiring speed.","Definition: Market-related blockers are external constraints tied to the availability of talent in the market, location-specific challenges, or highly niche requirements that limit sourcing success. These blockers are independent of recruiter effort or client-side delays, and they reflect real supply-and-demand issues in the candidate market.","Definition: Internal or TA-related blockers are delays or gaps in the recruitment process caused by internal team availability, capacity, or transitions. These blockers are not client- or market-driven but stem from recruiter out-of-office time, workload management, or contract timelines within the TA function."
,,,,
Reasoning 1,Client Delay,Candidate Engagement Problems,Limited Talent Pool,Out of Office
,,,,
Examples,Hiring managers or others unavailable for interviews due to holidays or travel.,Several candidates confirmed interviews but didn’t attend.,Recruiting for a specialized position with very few qualified candidates.,Recruiter/Sourcer on vacation for several days this week.
,,,,
,Recruitment paused temporarily as leadership focuses on a product launch.,Candidates stopped responding after initial contact.,Limited response from applicants due to remote job location.,Team member returned from leave and resumed outreach mid-week.
,,,,
,"Feedback from hiring managers delayed, extending time-to-hire.",Some candidates accepted interviews but withdrew before the interview(s).,Talent pool already saturated; sourcing efforts yield few new profiles.,Reduced coverage as multiple recruiters were out simultaneously.
,,,,
,Approvals for shortlisted candidates pending at senior level.,"High application volume, but limited engagement from qualified applicants.",Local market conditions make it difficult to attract experienced professionals.,Temporary slowdown due to training or internal meetings.
,,,,
Reasoning 2,Role Availability,Process/Expectations Misalignment,Narrow Requirements,Project/Contract Closing
,,,,
Examples,Waiting for new roles to be approved before sourcing can begin.,Candidate tracking inconsistent due to incorrect system usage.,Strict role requirements exclude many qualified applicants.,Recruiter/Sourcer finalizing handover as contract period ends.
,,,,
,Limited number of open requisitions this week due to hiring freeze.,Recruiter retrained after process deviation impacted reporting accuracy.,Client looking only for profiles from a small set of companies.,Wrapping up projects before reassignment to new roles.
,,,,
,Kick-off discussions ongoing for new positions; sourcing not yet started.,"Misalignment between candidate expectations and role requirements (e.g., salary or seniority).","Very narrow experience criteria (e.g., niche technology stack) limit sourcing success.",Realignment of recruiter portfolios temporarily delaying progress.
,,,,
,Client postponed certain roles until next hiring cycle.,Candidates dropping out due to lengthy or unclear process steps.,Constant adjustment of “ideal candidate” profile slowing sourcing progress.,Internal process changes requiring adjustment in sourcing priorities.
